Names,accuracy,Models,AE
Trace,1,XGBClassifier,0
Coffee,1,SVC,0
Wafer,1,SVC,0
FreezerRegularTrain,0.986666666666667,XGBClassifier,0
GunPointMaleVersusFemale,0.968354430379747,XGBClassifier,0
StarLightCurves,0.957746478873239,SVC,1
BeetleFly,0.95,RandomForestClassifier,1
TwoLeadECG,0.923617208077261,CatBoostClassifier,0
GunPointAgeSpan,0.914556962025316,RandomForestClassifier,0
FreezerSmallTrain,0.888070175438596,KNeighborsClassifier,0
ProximalPhalanxOutlineAgeGroup,0.853658536585366,SVC,0
GunPoint,0.853333333333333,KNeighborsClassifier,1
Strawberry,0.851351351351351,XGBClassifier,0
GunPointOldVersusYoung,0.850793650793651,RandomForestClassifier,0
Meat,0.85,CatBoostClassifier,0
ECG5000,0.849555555555556,SVC,1
HouseTwenty,0.848739495798319,XGBClassifier,0
ToeSegmentation2,0.815384615384615,CatBoostClassifier,0
PowerCons,0.811111111111111,CatBoostClassifier,0
BirdChicken,0.8,KNeighborsClassifier,0
Chinatown,0.798833819241983,KNeighborsClassifier,1
Symbols,0.795979899497487,RandomForestClassifier,0
InsectEPGRegularTrain,0.779116465863454,CatBoostClassifier,1
ToeSegmentation1,0.776315789473684,RandomForestClassifier,0
CinCECGTorso,0.771739130434783,CatBoostClassifier,0
OliveOil,0.766666666666667,SVC,1
SmallKitchenAppliances,0.76,RandomForestClassifier,1
ProximalPhalanxOutlineCorrect,0.759450171821306,XGBClassifier,1
InsectEPGSmallTrain,0.759036144578313,CatBoostClassifier,0
Earthquakes,0.748201438848921,SVC,0
MixedShapesRegularTrain,0.744329896907217,CatBoostClassifier,0
UMD,0.743055555555556,XGBClassifier,0
Plane,0.742857142857143,CatBoostClassifier,0
Lightning2,0.737704918032787,XGBClassifier,1
Computers,0.728,XGBClassifier,0
ECGFiveDays,0.725900116144019,SVC,1
ECG200,0.72,SVC,0
SonyAIBORobotSurface2,0.714585519412382,SVC,1
WormsTwoClass,0.714285714285714,XGBClassifier,0
HandOutlines,0.705405405405405,RandomForestClassifier,1
Mallat,0.702771855010661,RandomForestClassifier,0
ProximalPhalanxTW,0.702439024390244,KNeighborsClassifier,0
MixedShapesSmallTrain,0.701030927835051,RandomForestClassifier,0
DistalPhalanxOutlineAgeGroup,0.697841726618705,KNeighborsClassifier,1
DiatomSizeReduction,0.689542483660131,CatBoostClassifier,0
SemgHandGenderCh2,0.688333333333333,KNeighborsClassifier,0
BME,0.686666666666667,CatBoostClassifier,0
DistalPhalanxOutlineCorrect,0.677536231884058,RandomForestClassifier,0
PhalangesOutlinesCorrect,0.674825174825175,RandomForestClassifier,0
MiddlePhalanxOutlineCorrect,0.670103092783505,CatBoostClassifier,0
NonInvasiveFetalECGThorax2,0.64529262086514,CatBoostClassifier,0
ItalyPowerDemand,0.645286686103013,SVC,1
Herring,0.640625,XGBClassifier,1
CBF,0.636666666666667,XGBClassifier,0
Worms,0.636363636363636,XGBClassifier,0
LargeKitchenAppliances,0.632,RandomForestClassifier,0
Wine,0.62962962962963,XGBClassifier,1
Yoga,0.622,CatBoostClassifier,0
FordA,0.621212121212121,CatBoostClassifier,0
MiddlePhalanxOutlineAgeGroup,0.616883116883117,SVC,0
DistalPhalanxTW,0.58273381294964,SVC,0
SwedishLeaf,0.5808,XGBClassifier,0
ScreenType,0.573333333333333,XGBClassifier,0
SonyAIBORobotSurface1,0.572379367720466,XGBClassifier,1
ArrowHead,0.571428571428571,RandomForestClassifier,1
RefrigerationDevices,0.568,SVC,1
ChlorineConcentration,0.56796875,SVC,1
MoteStrain,0.567092651757188,SVC,1
NonInvasiveFetalECGThorax1,0.561832061068702,CatBoostClassifier,0
MiddlePhalanxTW,0.558441558441558,SVC,0
Ham,0.552380952380952,SVC,0
ShapeletSim,0.55,SVC,0
FordB,0.548148148148148,RandomForestClassifier,0
ACSF1,0.54,CatBoostClassifier,0
MedicalImages,0.539473684210526,CatBoostClassifier,0
Fish,0.525714285714286,CatBoostClassifier,0
ElectricDevices,0.521592530151731,CatBoostClassifier,0
Car,0.516666666666667,CatBoostClassifier,0
OSULeaf,0.495867768595041,XGBClassifier,0
Lightning7,0.493150684931507,XGBClassifier,0
Rock,0.48,RandomForestClassifier,0
TwoPatterns,0.47475,CatBoostClassifier,0
UWaveGestureLibraryAll,0.455332216638749,XGBClassifier,0
UWaveGestureLibraryX,0.446677833612507,XGBClassifier,0
FaceFour,0.431818181818182,CatBoostClassifier,0
SyntheticControl,0.42,XGBClassifier,0
SmoothSubspace,0.413333333333333,SVC,0
ShapesAll,0.398333333333333,RandomForestClassifier,0
MelbournePedestrian,0.388683886838868,CatBoostClassifier,0
UWaveGestureLibraryY,0.382747068676717,SVC,1
FacesUCR,0.379512195121951,XGBClassifier,0
EOGVerticalSignal,0.367403314917127,RandomForestClassifier,0
Beef,0.366666666666667,SVC,1
Adiac,0.352941176470588,RandomForestClassifier,0
Haptics,0.350649350649351,RandomForestClassifier,0
PigArtPressure,0.341346153846154,CatBoostClassifier,0
Crop,0.326964285714286,RandomForestClassifier,0
EOGHorizontalSignal,0.306629834254144,SVC,1
WordSynonyms,0.304075235109718,SVC,1
CricketZ,0.294871794871795,RandomForestClassifier,0
CricketY,0.292307692307692,CatBoostClassifier,0
EthanolLevel,0.29,SVC,0
FaceAll,0.289940828402367,RandomForestClassifier,0
FiftyWords,0.285714285714286,RandomForestClassifier,0
CricketX,0.276923076923077,CatBoostClassifier,0
InsectWingbeatSound,0.20050505050505,SVC,1
Phoneme,0.161919831223629,SVC,1
PigAirwayPressure,0.153846153846154,CatBoostClassifier,0
PigCVP,0.110576923076923,CatBoostClassifier,0
